Timestamp,Mother tongue,NoLyricsLike,ForeignLike,FamiliarLike,ActiveEngagement,PerceptualAbilities,MusicalTraining,SingingAbilities,Emotions,MusicSoph,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
0,French,1,1,1,51,52,29,12,41,67,79,92,79,76,66
1,French,6,4,4,56,58,45,41,33,111,44,38,85,42,79
2,Spanish,4,1,7,37,43,24,31,31,79,34,79,85,69,24
3,Persian,2,1,5,36,53,27,42,27,86,62,85,66,76,50
4,Spanish,5,7,3,45,38,18,32,39,83,73,95,79,60,79
5,French,5,3,5,50,53,25,26,35,71,46,73,66,52,85
6,French,4,5,3,46,55,34,32,36,91,28,73,73,85,16
7,French,2,5,6,51,54,39,32,37,96,52,24,79,60,16
8,French,5,4,5,55,55,40,35,41,102,66,34,88,85,52
9,Spanish,5,4,3,54,54,23,23,40,84,85,28,88,60,66
10,Spanish,5,5,3,52,43,13,13,39,52,85,46,95,76,85
11,Spanish,5,3,3,39,43,29,20,36,75,73,48,50,44,79
12,Spanish,5,3,6,31,38,22,23,29,66,34,73,38,34,73
13,Spanish,7,3,3,44,56,32,26,39,80,54,48,58,52,58
14,Spanish,4,1,6,27,28,15,13,37,46,73,85,16,69,92
15,Spanish,6,6,6,22,43,23,28,31,60,54,76,34,44,60
16,Spanish,6,5,4,27,43,12,35,32,59,85,92,92,85,76
17,French,6,5,3,25,40,8,32,29,54,28,85,42,11,28
18,Persian,4,2,5,18,41,10,32,27,54,79,40,73,69,58
19,Persian,4,3,6,32,34,15,28,23,71,44,40,66,42,79
20,French,5,4,4,41,53,31,32,34,76,16,92,34,69,66
21,French,4,6,4,33,49,19,37,28,74,21,54,58,42,58
22,Persian,2,2,3,45,46,10,31,35,77,73,85,48,52,58
23,Persian,1,2,1,16,20,7,16,37,40,60,66,58,69,79
24,Persian,5,5,4,23,30,7,27,31,49,52,85,50,21,34
25,Persian,2,4,2,24,43,18,26,28,49,85,79,79,44,79
26,French,5,5,6,38,53,24,23,34,64,8,54,66,69,73
27,Persian,4,2,6,47,51,29,36,38,88,66,16,34,21,72
28,Persian,5,5,6,45,46,15,36,38,71,18,62,95,52,58
29,Persian,5,5,4,36,29,9,23,28,57,21,44,42,76,56
